1	8,745.08
10	888,22,354.48
100	62,872.60
101	210,7,681.41
102	436,10,938.37
106	1403,25,670.15
107	10,154.42
108	842,23,452.48
109	2,114.73
11	435,10,506.33
111	15,160.39
112	4002,63,020.14
113	6,91.72
114	7,100.04
115	45,2,680.91
116	8484,120,880.32
117	285,14,122.08
118	12,942.91
119	983,23,691.68
120	52,909.45
121	1054,22,693.47
122	546,15,430.01
123	1364,29,360.78
124	343,9,695.07
125	2,18.72
126	630,13,496.16
127	1791,32,992.51
128	89,1,940.30
129	15993,201,829.83
13	16,317.17
130	9847,174,675.56
131	701,17,370.70
132	67,3,160.75
133	776,16,388.30
134	5278,78,984.40
135	684,14,907.63
136	1256,30,591.74
137	10,157.73
138	79,2,637.12
139	423,13,519.33
14	2187,61,019.52
140	16,313.28
141	9,78.69
142	35,471.81
143	3,21.89
144	1,7.80
145	6793,109,934.08
146	3231,42,311.11
147	611,15,157.73
148	5,69.65
149	1036,22,553.78
15	157,4,598.81
150	580,17,561.31
151	1,14.69
152	4122,54,685.64
153	214,2,773.11
154	30,589.29
155	1451,35,591.08
156	38,2,478.06
157	396,8,383.85
158	3,34.99
159	2126,35,490.34
16	390,10,137.73
160	369,7,887.19
161	29,442.98
162	37,485.49
163	26,282.61
164	24,340.55
165	1701,37,130.88
166	22047,290,923.64
167	1165,25,212.74
168	2061,36,988.89
169	1205,25,377.35
17	4422,71,744.13
170	31,726.58
171	375,11,009.80
172	7,384.93
173	1496,21,435.57
174	1831,40,178.24
175	254,7,334.38
176	2,84.61
177	1518,33,191.61
178	440,9,646.79
179	4401,59,935.21
18	1305,28,927.41
180	222,6,065.31
181	13846,207,278.13
182	1754,34,285.56
183	469,12,807.89
184	69,1,275.34
185	1112,22,070.18
186	25,374.74
187	4,263.74
188	3757,73,720.76
189	1688,27,091.30
19	315,8,123.08
190	392,6,786.23
191	1066,32,095.40
192	449,10,196.72
193	2670,31,025.44
194	27,495.93
195	822,21,865.97
196	4805,73,571.29
197	1635,52,022.39
198	524,12,258.42
20	662,14,595.18
200	652,19,671.67
201	50,2,972.38
202	77,2,842.93
203	357,12,422.15
204	3,179.44
205	1458,44,342.83
206	42,2,510.55
207	58,413.56
208	653,15,318.41
21	946,24,254.70
210	3226,62,397.41
211	6,70.60
212	1448,24,030.24
213	2067,47,893.32
214	13,797.87
215	1108,29,214.18
216	1117,30,548.64
217	679,12,383.54
218	859,24,227.27
219	309,12,218.19
22	1117,30,612.52
220	1390,31,272.71
221	31,2,110.17
222	1098,32,296.51
223	10242,130,487.42
224	1,9.36
225	3432,68,243.94
226	5003,85,242.80
227	745,20,532.26
228	1242,31,898.42
229	14,157.62
23	17,936.57
230	52,811.43
231	23,435.32
232	3,108.71
233	4,41.39
234	21,295.80
235	1559,38,205.18
236	1375,17,666.27
237	11,138.46
238	12,119.92
239	37,459.94
24	1832,22,065.50
240	111,2,664.24
241	747,16,854.60
242	2752,53,440.37
243	3198,61,844.03
244	15495,289,059.54
245	3,131.98
246	3,26.86
247	2292,36,179.22
248	729,14,792.38
249	11,101.56
25	12315,193,910.57
250	1118,23,784.50
251	26,1,396.31
252	205,6,071.08
253	19,815.68
254	1645,43,633.95
255	10253,154,623.09
256	3319,54,107.84
257	639,13,500.82
258	552,14,938.49
259	742,21,676.43
26	2032,45,514.10
260	12214,153,578.14
261	9,200.52
262	14,317.64
263	397,5,493.81
264	983,11,147.04
265	182,7,663.09
27	1,30.45
28	880,20,057.04
29	959,25,301.55
3	673,17,270.86
30	3,190.04
31	167,3,529.30
32	1078,28,938.72
33	14818,247,550.51
34	152,2,700.11
35	2674,61,664.29
36	1586,33,049.99
37	1883,39,719.45
38	420,16,593.03
39	2534,67,263.08
4	3,59.37
40	3106,46,597.96
41	33316,391,503.82
42	20507,265,946.17
43	7137,94,451.44
44	4,340.98
45	3,38.72
46	66,3,197.80
47	1034,23,024.80
48	42,552.19
49	5785,92,096.63
5	4,253.46
50	3,24.46
51	2063,61,827.64
52	5677,77,454.32
53	168,4,666.37
54	193,4,232.71
55	2035,71,135.16
56	1401,27,935.10
57	35,561.33
58	52,1,098.95
59	56,1,434.45
6	15,631.54
60	634,12,614.00
61	6980,124,608.88
62	1875,34,960.22
63	582,15,257.71
64	105,3,232.56
65	14543,232,218.47
66	10115,183,759.10
67	484,11,515.10
68	15,186.21
69	2514,48,556.09
7	25940,302,018.71
70	609,11,953.39
71	1837,40,680.76
72	2164,48,991.39
73	173,4,070.28
74	42811,552,093.44
75	39984,518,940.56
76	4360,113,211.11
77	1087,26,337.55
78	1237,29,124.08
79	23,292.58
8	5,122.77
80	2898,55,310.21
81	940,25,341.77
82	24695,309,114.90
83	3055,39,542.52
84	8,556.57
85	1180,25,947.90
86	297,17,100.09
87	14,301.77
88	8,263.97
89	3212,71,382.79
9	387,7,924.68
90	12,159.50
91	2263,51,302.71
92	4243,79,954.57
93	191,4,531.88
94	498,10,258.13
95	17102,241,009.05
96	29,719.12
97	17302,258,730.43
98	215,6,344.54
